Row Labels,Count of church,Address,UpdatedChurchName,Latitude,Longitude,Flag
"O.L. of Mt. Carmel, Camden",4,"832 S 4th St, Camden, NJ 08103","Our Lady of Mt. Carmel, Camden",39.9354444,-75.1224183,
"O.L. of the Angels, Cape May Court House",2,"35 E Mechanic St, Cape May Court House, NJ 08210","Our Lady of the Angels, Cape May Court House",39.0803039,-74.8200374,
"O.L. of the Lakes, Collings Lakes",1,"19 Malaga Road, Collings Lakes, Williamstown, NJ 08094","Our Lady of the Lakes, Collings Lakes",39.592642,-74.884013,
"O.L. of Victories, Sayreville",1,"42 Main St, Sayreville, NJ 08872","Our Lady of Victories, Sayreville",40.4583161,-74.3603449,Also a school
"O.L. Star of the Sea, Atlantic City",3,"2651 Atlantic Ave, Atlantic City, NJ 08401","Our Lady Star of the Sea, Atlantic City",39.3561242,-74.4442976,
"O.L. Star of the Sea, Cape May",6,"525 Washington, Cape May, NJ 08204","Our Lady Star of the Sea, Cape May",38.9333507,-74.9219079,
"Oratory Prep, Summit",3,"425 Morris Ave, Summit, NJ 07901","Oratory Prep, Summit",40.7235417,-74.367826,
"Our Lady Help of Christians, East Orange",1,"23 N Clinton St, East Orange, NJ 07017","Our Lady Help of Christians, East Orange",40.765252,-74.2141066,
"Our Lady of All Souls, East Orange",2,"Fourth Avenue and N Grove St, East Orange, New Jersey 07017","Our Lady of All Souls, East Orange",40.7664897,-74.2007009,Appears to be a closed school and church
"Our Lady of Assumption, Bayonne",1,"93 W 23rd St, Bayonne, NJ 07002","Our Lady of the Assumption, Bayonne",40.6657195,-74.1211973,Closed
"Our Lady of Fatima, North Bergen",2,"8101 Kennedy Blvd., North Bergen, NJ 07047","Our Lady of Fatima, North Bergen",40.80519,-74.010882,
"Our Lady of Fatima, Piscataway",1,"501 New Market Rd, Piscataway Township, NJ 08854","Our Lady of Fatima, Piscataway",40.5785498,-74.4586228,
"Our Lady of Good Counsel, Newark",1,"654 Summer Avenue, Newark, NJ 07104-3418","Our Lady of Good Counsel, Newark",40.7744074,-74.1640915,
"Our Lady of Good Counsel, Ocean City",1,"3948 Central Ave, Ocean City, NJ 08226","Our Lady of Good Counsel, Ocean City",39.2437562,-74.617854,
"Our Lady of Grace, Somerdale",3,"35 North White Horse Pike, Somerdale, New Jersey 08083-1796","Our Lady of Grace, Somerdale",39.8459531,-75.0201249,Closed
